date,PM25,temp,r_hum,wdsp,msl
01/01/2009,31.1,3.4,90.4,7.8,1029
02/01/2009,15.2,3.7,77.4,8.5,1031
03/01/2009,17.4,2.8,67,6.1,1030
04/01/2009,38.2,0.9,89.7,7.4,1024
05/01/2009,23.1,0.8,87.8,7.4,1026
06/01/2009,21.8,-0.5,75.4,4.9,1029
07/01/2009,33.9,-0.7,81,9.4,1027
08/01/2009,41,2.1,81,6.9,1027
09/01/2009,38.2,1.8,85.5,5.2,1026
10/01/2009,13.2,7,73.2,17.3,1016
11/01/2009,1.5,10.2,87.7,24,1006
12/01/2009,4.8,8.1,90.1,12.8,1002
13/01/2009,8.9,4.5,93.5,9.3,1008
14/01/2009,6.3,5.1,93.8,11.5,1005
15/01/2009,5.9,9.5,85.6,16.3,999
16/01/2009,6.8,7.1,85.4,10.8,1002
17/01/2009,5.1,5.5,83.2,19,992
18/01/2009,4.5,2.7,87,18.1,988
19/01/2009,4.7,2.9,88.3,14.8,976
20/01/2009,6.4,2.3,88.2,17.4,985
21/01/2009,7.4,4.2,87.9,11.8,991
22/01/2009,,6.1,82.6,15,978
23/01/2009,8.9,3,87.8,12.4,978
24/01/2009,7.2,3.3,86.9,13.4,984
25/01/2009,16.9,5.2,86.5,11.3,975
26/01/2009,30.6,4.1,92.1,7.3,999
27/01/2009,13.6,6.9,94.9,5.5,1007
28/01/2009,20.7,5.4,87.9,5.8,1012
29/01/2009,8.9,6.9,92.3,16.6,1007
30/01/2009,6.7,7.8,97.3,21.7,1003
31/01/2009,24.3,5.7,90.7,16.6,1005
01/02/2009,16,3,77.1,15.8,1012
02/02/2009,10.8,1,85.3,14.8,1006
03/02/2009,9.7,1.5,94.3,17,989
04/02/2009,12.7,2.8,88.5,11.8,992
05/02/2009,14.1,0.3,96.9,9.8,994
06/02/2009,9.3,0,90.3,10.5,998
07/02/2009,12.3,0.3,86.3,11.8,1002
08/02/2009,14.1,1,92,7.3,1000
09/02/2009,15.2,1.4,96.5,7.6,995
10/02/2009,12.3,2.1,92.2,11,1006
11/02/2009,14.1,2.7,94.6,9.8,1019
12/02/2009,14.6,4.7,91.8,7.5,1025
13/02/2009,19.2,7,94,7.7,1025
14/02/2009,19.9,6.7,84.3,4.9,1027
15/02/2009,8,8.1,83.7,11.7,1027
16/02/2009,8.5,7.3,84.7,11.3,1027
17/02/2009,11.7,7.7,82.5,9,1029
18/02/2009,12.3,7,75.5,4.8,1028
19/02/2009,14.5,6.6,89.8,6.7,1029
20/02/2009,15.5,5.4,86,7.4,1032
21/02/2009,5.9,7.7,81.8,12.4,1033
22/02/2009,4.5,8.5,89,13.6,1030
23/02/2009,7.2,7.9,90.6,9.6,1028
24/02/2009,13.4,7.4,92.3,5.5,1028
25/02/2009,7.5,7.2,80.3,11.4,1027
26/02/2009,6.2,7.4,86.8,15.8,1023
27/02/2009,5.2,8.7,83.9,14.3,1018
28/02/2009,8.3,8.4,82.3,10.6,1010
01/03/2009,6.3,5.8,87.3,11.9,1008
02/03/2009,7.9,6.1,91.1,14.5,1013
03/03/2009,7.2,4.7,86.2,13.6,994
04/03/2009,9.7,0.9,91,8.2,981
05/03/2009,12.8,2.5,85.5,10,996
06/03/2009,9.4,5.3,89.8,8.6,1004
07/03/2009,4.4,9.2,85.3,16.3,1002
08/03/2009,5.1,3.2,85.2,20.5,999
09/03/2009,4.9,5.3,81.8,17.2,1007
10/03/2009,9.9,7,87.5,10.2,1010
11/03/2009,8.8,10.8,84.2,10.4,1018
12/03/2009,9.3,9.5,78.5,14.3,1018
13/03/2009,7,8.5,85,8.7,1013
14/03/2009,8.7,8.6,75,17.2,1016
15/03/2009,7.6,9.2,74.3,9.9,1030
16/03/2009,11.2,8.5,79.6,8.3,1031
17/03/2009,16.1,8.9,83.5,9.5,1034
18/03/2009,36.3,6.3,87.8,5.3,1031
19/03/2009,35.2,5.2,95.9,5.5,1028
20/03/2009,47.7,7.5,87,9.7,1029
21/03/2009,32.9,6.6,88.6,9,1034
22/03/2009,10,7.7,84.6,14,1034
23/03/2009,6.5,7.4,79,20,1022
24/03/2009,7,6.1,86.8,15.3,1018
25/03/2009,7.7,8.3,73.9,19.8,1007
26/03/2009,5.5,7.2,82.6,21.8,999
27/03/2009,5.22,5.2,78.7,19.8,996
28/03/2009,9.64,3.8,71.3,16.2,1008
29/03/2009,9.4,5.2,76.4,9.4,1011
30/03/2009,6.06,9.4,84.3,8.6,1017
31/03/2009,11.96,11,75.5,7,1022
01/04/2009,13.92,8,79.4,5.1,1024
02/04/2009,18.45,8.1,81.8,7.3,1021
03/04/2009,26.79,7.4,89.1,5.7,1014
04/04/2009,5.5,8.1,76.1,14.1,1017
05/04/2009,6.31,7.3,74,8.8,1019
06/04/2009,6.97,7.3,90.1,12.2,1004
